frame,x,y,width,height,box_area,smoothed_area,area_ratio,speed,max_approach_speed,approach_duration,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score,tracking
110,778,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,52,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
111,779,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,50,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
112,780,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,47,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
113,782,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,47,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
114,784,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
115,785,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
116,786,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
117,788,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
118,789,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
119,789,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
120,789,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
121,790,469,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
122,790,470,165,114,18810,18810.0,2.6605374823196604,0.0,0.0,0,MOVING AWAY,False,48,⚡ MEDIUM OVERTAKE CHANCE,0,38.68458274398868,0,success
