frame,area_ratio,block_diff,status,overtake_chance,duration_penalty
195,3.2373482726423903,-5.600000000000364,MOVING AWAY,86,0.0
196,3.5555555555555554,-5.600000000000364,MOVING AWAY,83,0.0
197,3.9293495175848117,-5.600000000000364,MOVING AWAY,80,0.0
198,3.9293495175848117,-5.600000000000364,MOVING AWAY,77,0.0
199,3.9293495175848117,-5.600000000000364,MOVING AWAY,74,0.0
200,3.8545907251789604,1983.199999999999,APPROACHING,74,0.0
201,3.9293495175848117,1983.199999999999,APPROACHING,74,0.0
202,3.9293495175848117,1983.199999999999,APPROACHING,74,0.0
203,3.5555555555555554,1983.199999999999,APPROACHING,75,0.0
204,3.5555555555555554,1983.199999999999,APPROACHING,75,0.0
205,3.779831932773109,-240.1999999999989,MOVING AWAY,75,0.0
206,3.5555555555555554,-240.1999999999989,MOVING AWAY,75,0.0
207,3.9293495175848117,-240.1999999999989,MOVING AWAY,75,0.0
208,3.5555555555555554,-240.1999999999989,MOVING AWAY,75,0.0
209,3.2356053532524123,-240.1999999999989,MOVING AWAY,75,0.0
210,3.440087145969499,-1091.6000000000004,MOVING AWAY,72,0.0
211,3.5555555555555554,-1091.6000000000004,MOVING AWAY,69,0.0
212,3.5555555555555554,-1091.6000000000004,MOVING AWAY,66,0.0
213,3.5555555555555554,-1091.6000000000004,MOVING AWAY,63,0.0
214,3.9293495175848117,-1091.6000000000004,MOVING AWAY,60,0.0
215,3.705073140367258,851.3999999999996,APPROACHING,63,0.0
216,3.2356053532524123,851.3999999999996,APPROACHING,66,0.0
217,3.2356053532524123,851.3999999999996,APPROACHING,69,0.0
218,2.9243697478991595,851.3999999999996,APPROACHING,71,0.0
219,2.9243697478991595,851.3999999999996,APPROACHING,74,0.0
220,3.0488639900404606,-2108.3999999999996,MOVING AWAY,74,0.0
221,2.660753190164955,-2108.3999999999996,MOVING AWAY,73,0.0
222,2.660753190164955,-2108.3999999999996,MOVING AWAY,72,0.0
223,2.660753190164955,-2108.3999999999996,MOVING AWAY,70,0.0
224,2.660753190164955,-2108.3999999999996,MOVING AWAY,69,0.0
225,2.660753190164955,-1247.0,MOVING AWAY,65,0.0
226,2.660753190164955,-1247.0,MOVING AWAY,61,0.0
227,2.660753190164955,-1247.0,MOVING AWAY,57,0.0
228,2.660753190164955,-1247.0,MOVING AWAY,53,0.0
229,2.9243697478991595,-1247.0,MOVING AWAY,50,0.0
230,2.828446934329287,538.7999999999993,APPROACHING,52,0.0
231,3.2356053532524123,538.7999999999993,APPROACHING,56,0.0
232,3.2356053532524123,538.7999999999993,APPROACHING,60,0.0
233,3.2356053532524123,538.7999999999993,APPROACHING,65,0.0
234,3.2356053532524123,538.7999999999993,APPROACHING,69,0.0
235,3.2356053532524123,1308.2000000000007,APPROACHING,73,0.0
236,2.9243697478991595,1308.2000000000007,APPROACHING,77,0.0
237,3.2356053532524123,1308.2000000000007,APPROACHING,81,0.0
238,2.9243697478991595,1308.2000000000007,APPROACHING,85,0.0
239,2.9243697478991595,1308.2000000000007,APPROACHING,88,0.0
240,2.98661686896981,-800.0,MOVING AWAY,86,0.0
241,3.2356053532524123,-800.0,MOVING AWAY,83,0.0
242,3.2356053532524123,-800.0,MOVING AWAY,80,0.0
243,3.2356053532524123,-800.0,MOVING AWAY,77,0.0
244,3.2356053532524123,-800.0,MOVING AWAY,74,0.0
245,3.2356053532524123,800.0,APPROACHING,74,0.0
246,3.2356053532524123,800.0,APPROACHING,74,0.0
247,3.2356053532524123,800.0,APPROACHING,74,0.0
248,3.2356053532524123,800.0,APPROACHING,74,0.0
249,3.2356053532524123,800.0,APPROACHING,74,0.0
250,3.2356053532524123,0.0,MOVING AWAY,75,0.0
