frame,x,y,width,height,box_area,area_ratio,status,closer_chance,tracking
732,820,486,91,61,5551,1.0213655197261755,📈 GETTING CLOSER,42,success
733,817,487,87,58,5046,1.0031705998919114,📈 GETTING CLOSER,6,success
734,817,488,87,58,5046,0.9434528009030619,📉 MOVING AWAY,0,success
735,816,488,87,58,5046,0.9256384930153803,📉 MOVING AWAY,0,success
736,811,489,87,58,5046,0.9078241851276986,📉 MOVING AWAY,0,success
737,809,488,91,61,5551,0.9078241851276986,📉 MOVING AWAY,0,success
738,805,488,91,61,5551,0.9424271809790611,📉 MOVING AWAY,0,success
739,806,490,87,58,5046,0.9811179659749486,📉 MOVING AWAY,62,success
740,802,489,91,61,5551,1.0192454268292683,📈 GETTING CLOSER,38,success
741,800,489,91,61,5551,1.058869244219934,📈 GETTING CLOSER,100,success
742,799,490,91,61,5551,1.058869244219934,📈 GETTING CLOSER,100,success
743,799,491,91,61,5551,1.0384908536585367,📈 GETTING CLOSER,76,success
744,801,493,87,58,5046,1.0384908536585367,📈 GETTING CLOSER,76,success
745,799,492,91,61,5551,1.0188820340250515,📈 GETTING CLOSER,37,success
746,802,495,87,58,5046,0.9814678899082568,📉 MOVING AWAY,62,success
747,803,495,87,58,5046,0.9629357798165138,📉 MOVING AWAY,25,success
748,803,496,87,58,5046,0.9444036697247706,📉 MOVING AWAY,0,success
749,802,495,91,61,5551,0.9629357798165138,📉 MOVING AWAY,25,success
750,802,495,91,61,5551,0.9629357798165138,📉 MOVING AWAY,25,success
751,804,497,87,58,5046,0.9811179659749486,📉 MOVING AWAY,62,success
752,805,497,87,58,5046,1.0,📉 MOVING AWAY,100,success
753,806,497,87,58,5046,1.0196230814066447,📈 GETTING CLOSER,39,success
754,806,496,87,58,5046,0.9807545731707317,📉 MOVING AWAY,61,success
755,809,498,83,55,4565,0.9431783536585366,📉 MOVING AWAY,0,success
756,810,498,83,55,4565,0.9248475609756098,📉 MOVING AWAY,0,success
757,809,497,87,58,5046,0.9248475609756098,📉 MOVING AWAY,0,success
758,812,499,83,55,4565,0.9065167682926829,📉 MOVING AWAY,0,success
759,816,501,79,53,4187,0.8909267534486109,📉 MOVING AWAY,0,success
760,814,500,83,55,4565,0.9264212695462444,📉 MOVING AWAY,0,success
761,819,499,83,55,4565,0.9447832536673809,📉 MOVING AWAY,0,success
762,819,499,83,55,4565,0.9249629141255974,📉 MOVING AWAY,0,success
763,824,499,83,55,4565,0.9436667087064363,📉 MOVING AWAY,0,success
764,822,498,87,58,5046,1.0164863921842289,📈 GETTING CLOSER,32,success
765,824,498,87,58,5046,1.0374651081646893,📈 GETTING CLOSER,74,success
766,829,497,87,58,5046,1.05844382414515,📈 GETTING CLOSER,100,success
767,830,497,87,58,5046,1.102552679645387,📈 GETTING CLOSER,100,success
768,835,496,87,58,5046,1.12398093286408,📈 GETTING CLOSER,100,success
769,836,496,87,58,5046,1.0825538487943018,📈 GETTING CLOSER,100,success
770,840,496,87,58,5046,1.0606633875646363,📈 GETTING CLOSER,100,success
771,842,496,87,58,5046,1.0396406790835668,📈 GETTING CLOSER,79,success
772,845,496,87,58,5046,1.0194351286920684,📈 GETTING CLOSER,38,success
773,849,496,87,58,5046,1.0,📉 MOVING AWAY,100,success
774,850,496,87,58,5046,1.0,📉 MOVING AWAY,100,success
775,854,497,83,55,4565,0.9809353943717797,📉 MOVING AWAY,61,success
776,854,496,87,58,5046,0.9809353943717797,📉 MOVING AWAY,61,success
777,858,496,87,58,5046,0.9809353943717797,📉 MOVING AWAY,61,success
778,860,496,87,58,5046,0.9809353943717797,📉 MOVING AWAY,61,success
779,863,496,87,58,5046,0.9809353943717797,📉 MOVING AWAY,61,success
