frame,pov_x,pov_y,front_x,front_y,rel_x,rel_y,tracking
718,895,771,879,512,-16,-259,success
719,838,739,879,513,41,-226,success
720,1033,798,877,513,-156,-285,success
721,1027,797,877,513,-150,-284,success
722,1036,795,877,513,-159,-282,success
723,1041,795,877,514,-164,-281,success
724,1039,794,877,514,-162,-280,success
725,1042,795,878,514,-164,-281,success
726,1045,796,877,514,-168,-282,success
727,1032,799,876,514,-156,-285,success
728,1025,799,871,514,-154,-285,success
729,1032,797,870,514,-162,-283,success
730,1036,797,869,514,-167,-283,success
731,1048,797,864,514,-184,-283,success
732,1050,798,863,514,-187,-284,success
733,1057,798,858,515,-199,-283,success
734,1061,799,858,515,-203,-284,success
735,1065,800,856,515,-209,-285,success
736,1066,801,852,516,-214,-285,success
737,1061,800,852,516,-209,-284,success
738,1060,799,848,516,-212,-283,success
739,1056,799,847,516,-209,-283,success
